text,bbox
your,"[[24.  7.]
 [57.  7.]
 [57. 18.]
 [24. 18.]]"
choice,"[[57.  7.]
 [99.  7.]
 [99. 18.]
 [57. 18.]]"
20,"[[47. 21.]
 [66. 21.]
 [66. 32.]
 [47. 32.]]"
exausivt,"[[ 65.  21.]
 [108.  21.]
 [108.  32.]
 [ 65.  32.]]"
oo,"[[30. 26.]
 [40. 26.]
 [40. 33.]
 [30. 33.]]"
s12900,"[[25.       35.999992]
 [90.999985 35.999992]
 [90.999985 57.999992]
 [25.       57.999992]]"
dewalr,"[[ 4. 64.]
 [41. 64.]
 [41. 80.]
 [ 4. 80.]]"
zo,"[[42. 64.]
 [53. 64.]
 [53. 72.]
 [42. 72.]]"
voll,"[[53. 64.]
 [70. 64.]
 [70. 73.]
 [53. 73.]]"
max,"[[69. 64.]
 [91. 64.]
 [91. 72.]
 [69. 72.]]"
lon,"[[37. 73.]
 [50. 73.]
 [50. 80.]
 [37. 80.]]"
potror,"[[51. 73.]
 [76. 73.]
 [76. 80.]
 [51. 80.]]"
seo,"[[77. 74.]
 [98. 74.]
 [98. 80.]
 [77. 80.]]"
