text,bbox
rec,"[[ 75.999985  61.      ]
 [125.999985  61.      ]
 [125.999985  81.      ]
 [ 75.999985  81.      ]]"
sod,"[[128.  61.]
 [175.  61.]
 [175.  82.]
 [128.  82.]]"
dd,"[[175.  62.]
 [201.  62.]
 [201.  82.]
 [175.  82.]]"
gale,"[[119.733505  98.076195]
 [191.92476   96.78707 ]
 [192.27861  116.60218 ]
 [120.08736  117.891304]]"
s31949,"[[ 43.0607   132.86264 ]
 [241.18532  134.04901 ]
 [240.80862  196.95694 ]
 [ 42.684006 195.77057 ]]"
cach,"[[186. 175.]
 [244. 175.]
 [244. 199.]
 [186. 199.]]"
ooni,"[[ 25.583784 218.10269 ]
 [ 84.85405  216.7243  ]
 [ 85.40324  240.33945 ]
 [ 26.13297  241.71783 ]]"
12,"[[ 85. 217.]
 [119. 217.]
 [119. 239.]
 [ 85. 239.]]"
koda,"[[126. 217.]
 [190. 217.]
 [190. 241.]
 [126. 241.]]"
kan,"[[222.35635 217.22928]
 [281.82318 220.3591 ]
 [280.68784 241.93094]
 [221.221   238.80112]]"
ox,"[[192. 221.]
 [219. 221.]
 [219. 240.]
 [192. 240.]]"
outdoor,"[[ 25. 241.]
 [123. 241.]
 [123. 264.]
 [ 25. 264.]]"
pilza,"[[126. 242.]
 [192. 242.]
 [192. 264.]
 [126. 264.]]"
oven,"[[196.37537 241.24307]
 [258.84924 244.71384]
 [257.6554  266.20306]
 [195.18153 262.7323 ]]"
o,"[[ 27. 269.]
 [ 99. 269.]
 [ 99. 287.]
 [ 27. 287.]]"
owos,"[[100. 269.]
 [170. 269.]
 [170. 287.]
 [100. 287.]]"
ma,"[[ 25.517992 293.1548  ]
 [ 88.793    290.3426  ]
 [ 89.56678  307.75262 ]
 [ 26.291773 310.56482 ]]"
wted,"[[ 94. 291.]
 [140. 291.]
 [140. 307.]
 [ 94. 307.]]"
oull,"[[192. 291.]
 [234. 291.]
 [234. 307.]
 [192. 307.]]"
pusa,"[[261.27243 290.369  ]
 [306.64487 293.03793]
 [305.68277 309.3931 ]
 [260.31033 306.72415]]"
rie,"[[143. 292.]
 [192. 292.]
 [192. 308.]
 [143. 308.]]"
oe,"[[308.454   290.76294]
 [351.67215 295.39343]
 [349.7806  313.0479 ]
 [306.56247 308.41742]]"
lt,"[[212. 308.]
 [255. 308.]
 [255. 326.]
 [212. 326.]]"
owes,"[[ 30.       312.99997 ]
 [ 94.999985 312.99997 ]
 [ 94.999985 325.99997 ]
 [ 30.       325.99997 ]]"
a,"[[109. 313.]
 [140. 313.]
 [140. 326.]
 [109. 326.]]"
vi,"[[186. 313.]
 [210. 313.]
 [210. 326.]
 [186. 326.]]"
le,"[[258. 313.]
 [285. 313.]
 [285. 326.]
 [258. 326.]]"
omie,"[[292. 313.]
 [350. 313.]
 [350. 326.]
 [292. 326.]]"
sd,"[[151. 314.]
 [181. 314.]
 [181. 326.]
 [151. 326.]]"
